Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
G,0.405,0.325,0.141,0.145,0.081,0,0,0
G,0.410,0.342,0.162,0.125,0.064,0,1,0
G,0.405,0.342,0.112,0.156,0.081,0,0,0
G,0.401,0.323,0.127,0.166,0.091,1,0,0
G,0.412,0.338,0.116,0.137,0.091,1,0,0
G,0.404,0.334,0.117,0.135,0.091,1,0,0
G,0.389,0.344,0.118,0.140,0.091,1,0,0
G,0.391,0.351,0.125,0.142,0.091,1,0,0
G,0.400,0.332,0.123,0.142,0.087,1,1,0
G,0.404,0.342,0.100,0.166,0.106,0,1,0
G,0.412,0.327,0.137,0.138,0.082,0,1,0
G,0.410,0.353,0.129,0.162,0.093,0,1,0
G,0.400,0.365,0.118,0.156,0.112,0,1,0
G,0.433,0.338,0.135,0.143,0.075,0,1,0
G,0.443,0.330,0.117,0.163,0.086,0,1,0
G,0.391,0.335,0.150,0.170,0.074,0,1,0
G,0.412,0.349,0.120,0.136,0.099,0,0,0
G,0.431,0.327,0.127,0.152,0.083,0,0,0
G,0.454,0.333,0.114,0.166,0.111,0,0,0
G,0.392,0.374,0.139,0.146,0.068,0,1,0
G,0.374,0.353,0.142,0.143,0.064,0,1,0
H,0.075,0.366,0.504,0.335,0.077,0,0,1
H,0.076,0.382,0.523,0.232,0.056,0,0,1
H,0.090,0.399,0.528,0.193,0.073,0,0,1
H,0.105,0.401,0.512,0.276,0.072,0,0,1
H,0.114,0.386,0.533,0.361,0.093,0,0,1
H,0.112,0.374,0.529,0.298,0.066,0,0,1
H,0.103,0.387,0.510,0.266,0.087,0,0,1
H,0.105,0.398,0.504,0.218,0.072,0,0,1
H,0.093,0.389,0.517,0.256,0.070,0,0,1
H,0.106,0.396,0.501,0.228,0.085,0,0,1
H,0.121,0.388,0.528,0.226,0.078,0,0,1
H,0.102,0.378,0.516,0.253,0.085,0,0,1
H,0.111,0.394,0.516,0.255,0.090,0,0,1
H,0.103,0.379,0.520,0.258,0.065,0,0,1
H,0.132,0.389,0.511,0.217,0.072,0,0,1
H,0.116,0.405,0.518,0.279,0.069,0,0,1
H,0.118,0.396,0.518,0.173,0.102,0,0,1
H,0.124,0.377,0.503,0.285,0.077,0,0,1
H,0.106,0.363,0.529,0.237,0.099,0,0,1
H,0.116,0.367,0.528,0.236,0.078,0,0,1
H,0.116,0.376,0.515,0.200,0.092,0,0,1
H,0.116,0.374,0.533,0.209,0.081,0,0,1
H,0.131,0.379,0.513,0.271,0.086,0,0,1
H,0.135,0.383,0.527,0.151,0.089,0,0,1
H,0.130,0.365,0.508,0.268,0.078,0,0,1
H,0.121,0.375,0.511,0.236,0.086,0,0,1
H,0.119,0.365,0.507,0.255,0.089,0,0,1
H,0.116,0.365,0.490,0.254,0.083,0,0,1
H,0.127,0.378,0.512,0.258,0.097,0,0,1
H,0.141,0.355,0.526,0.261,0.081,0,0,1
H,0.103,0.380,0.507,0.260,0.077,0,0,1
H,0.127,0.374,0.515,0.294,0.068,0,0,1
H,0.137,0.387,0.505,0.310,0.073,0,0,1
H,0.105,0.386,0.529,0.273,0.086,0,0,1
H,0.120,0.391,0.526,0.245,0.093,0,0,1
H,0.123,0.372,0.525,0.267,0.096,0,0,1
H,0.131,0.379,0.503,0.245,0.100,0,0,1
